Код ID;Наименование;Краткое описание;Маленькая картинка;Подробное описание;Большая картинка;Склад;Цена1;Цена2;Цена3;Цена4;Цена5;Вес;Артикул;Кaтегория ID; Доп. каталоги;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение
;Окучник для мотоблока двухрядный;Окучник двухрядный ОН-2/2 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1 Угра, Фаворит, Каскад, Луч;/UserFiles/Image/shop/inv1_3.jpg;Окучник двухрядный ОН-2/2 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1 Угра, Фаворит, Каскад, Луч. Окучник предназначен для обработки почвы, а именно - окучивания, прополки, нарезания гряд в комплекте с мотоблоком. Окучник для мотоблока изготовлен из специальной конструкционной стали. Конструкция - разборная.;/UserFiles/Image/shop/inv1_3.jpg;99;3100;3100;0;0;0;15;;;;;;;;;;;;;;;;;
;Окучник ОН-2/2 для мотоблока;Окучник ОН-2/2 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1 Угра, Фаворит, Каскад, Луч, а также мотокультиваторов;/UserFiles/Image/shop/inv1_2.gif;Окучник ОН-2/2 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1 Угра, Фаворит, Каскад, Луч, а также мотокультиваторов. Окучник предназначен для обработки почвы, а именно - окучивания, прополки, нарезания гряд в комплекте с мотоблоком. Окучник для мотоблока изготовлен из специальной конструкционной стали. Конструкция - разборная.;/UserFiles/Image/shop/inv1_2.gif;99;1000;1000;0;0;0;5;;;;;;;;;;;;;;;;;
;Окучник ОН-2/2 для мотоблока;Окучник ОН-2 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1 Угра, Фаворит, Каскад, Луч, а также мотокультиваторов;/UserFiles/Image/shop/inv1_1_2.gif;Окучник ОН-2 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1 Угра, Фаворит, Каскад, Луч, а также мотокультиваторов. Окучник предназначен для обработки почвы, а именно - окучивания, прополки, нарезания гряд в комплекте с мотоблоком. Окучник для мотоблока изготовлен из специальной конструкционной стали. Конструкция - разборная.;/UserFiles/Image/shop/inv1_1_2.gif;99;900;900;0;0;0;4,4;;;;;;;;;;;;;;;;;
;Плуг П1-20/2 для мотоблока;Плуг П1-20/2 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, НМБ-1 Угра, Фаворит, Каскад, Луч;/UserFiles/Image/shop/inv2_2.gif;Плуг П1-20/2 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, НМБ-1 Угра, Фаворит, Каскад, Луч. Плуг предназначен для вспашки почвы с удельным сопротивлением до 0,5 кг/см2 в комплекте с мотоблоком. Его геометрия позволяет легко обрабатывать почву. Плуг изготовлен из специальной конструкционной стали. Конструкция плуга - разборная.;/UserFiles/Image/shop/inv2_2.gif;99;1200;1200;0;0;0;6,9;;;;;;;;;;;;;;;;;
;Плуг П1-20/3 для мотоблока;Плуг П1-20/3 для мотоблоков Агрос, МТЗ Беларус;/UserFiles/Image/shop/inv2_3.gif;Плуг П1-20/3 для мотоблоков Агрос, МТЗ Беларус. Плуг предназначен для вспашки почвы с удельным сопротивлением до 0,5 кг/см2 в комплекте с мотоблоком. Его геометрия позволяет легко обрабатывать почву. Плуг изготовлен из специальной конструкционной стали. Конструкция плуга - разборная.;/UserFiles/Image/shop/inv2_3.gif;99;1290;1290;0;0;0;7,9;;;;Габаритные размеры;535х285х410 мм;Ширина захвата лемеха;190 мм;Рабочая скорость вспашки;2-5 км/ч;Вид почвы;легкая, средняя;Производитель;Мобил К, г. Гагарин;Для использования необходима;Сцепка;;
;Плуг Крот для мотоблока;Плуг Крот  для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, НМБ-1 Угра, Фаворит, Каскад, Луч, а также для мотокультиваторов;/UserFiles/Image/shop/inv2_1.gif;Плуг Крот для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, НМБ-1 Угра, Фаворит, Каскад, Луч, а также для мотокультиваторов. Плуг предназначен для вспашки почвы с удельным сопротивлением до 0,5 кг/см2 в комплекте с мотоблоком. Его геометрия позволяет легко обрабатывать почву. Плуг изготовлен из специальной конструкционной стали. Конструкция плуга - разборная.;/UserFiles/Image/shop/inv2_1.gif;99;990;990;0;0;0;4,6;;;;;;;;;;;;;;;;;
;Плуг двухоборотный для мотоблока;Плуг двухоборотный для мотоблоков МБ-1 Ока, МБ-2 Нева, МКМ-3 Lander, НМБ-1 Угра, Каскад, Луч;/UserFiles/Image/shop/inv2_4.jpg;Плуг двухоборотный для мотоблоков МБ-1 Ока, МБ-2 Нева, МКМ-3 Lander, НМБ-1 Угра, Каскад, Луч. Плуг предназначен для вспашки почвы с удельным сопротивлением до 0,5 кг/см2 в комплекте с мотоблоком. Его геометрия позволяет легко обрабатывать почву. Плуг изготовлен из специальной конструкционной стали. Конструкция плуга - разборная.;/UserFiles/Image/shop/inv2_4.jpg;99;4050;4050;0;0;0;15;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Мотокультиватор МКМ-2-Л4,0 Lander;Мотокультиватор МКМ-2 Lander предназначен для обработки почвы культивированием (фрезерованием), рыхления и разравнивания. МКМ-2 в комплекте с навесными (прицепными) орудиями может также выполнять работы по пахоте, междурядной обработке почвы, выкапыванию корнеплодов.;/UserFiles/Image/shop/mkm-2.png;Мотокультиватор МКМ-2 Lander предназначен для обработки почвы культивированием (фрезерованием), рыхления и разравнивания. МКМ-2 в комплекте с навесными (прицепными) орудиями может также выполнять работы по пахоте, междурядной обработке почвы, выкапыванию корнеплодов.;/UserFiles/Image/shop/mkm-2lander.png;99;19990;0;0;0;0;;;;;;;;;;;;;;;;;;
;Мотокультиватор МКМ-2-Л5,5 Lander;Мотокультиватор МКМ-2 Lander предназначен для обработки почвы культивированием (фрезерованием), рыхления и разравнивания. МКМ-2 в комплекте с навесными (прицепными) орудиями может также выполнять работы по пахоте, междурядной обработке почвы, выкапыванию корнеплодов.;/UserFiles/Image/shop/mkm-2.png;Мотокультиватор МКМ-2 Lander предназначен для обработки почвы культивированием (фрезерованием), рыхления и разравнивания. МКМ-2 в комплекте с навесными (прицепными) орудиями может также выполнять работы по пахоте, междурядной обработке почвы, выкапыванию корнеплодов.;/UserFiles/Image/shop/mkm-2lander.png;99;20500;0;0;0;0;;;;;;;;;;;;;;;;;;
;Мотокультиватор МКМ-2-Б6,0 Lander;Мотокультиватор МКМ-2 Lander предназначен для обработки почвы культивированием (фрезерованием), рыхления и разравнивания. МКМ-2 в комплекте с навесными (прицепными) орудиями может также выполнять работы по пахоте, междурядной обработке почвы, выкапыванию корнеплодов.;/UserFiles/Image/shop/mkm-2.png;Мотокультиватор МКМ-2 Lander предназначен для обработки почвы культивированием (фрезерованием), рыхления и разравнивания. МКМ-2 в комплекте с навесными (прицепными) орудиями может также выполнять работы по пахоте, междурядной обработке почвы, выкапыванию корнеплодов.;/UserFiles/Image/shop/mkm-2lander.png;99;23500;0;0;0;0;;;;;;;;;;;;;;;;;;
;Мотокультиватор МКМ-2-С6,0 Lander;Мотокультиватор МКМ-2 Lander предназначен для обработки почвы культивированием (фрезерованием), рыхления и разравнивания. МКМ-2 в комплекте с навесными (прицепными) орудиями может также выполнять работы по пахоте, междурядной обработке почвы, выкапыванию корнеплодов.;/UserFiles/Image/shop/mkm-2.png;Мотокультиватор МКМ-2 Lander предназначен для обработки почвы культивированием (фрезерованием), рыхления и разравнивания. МКМ-2 в комплекте с навесными (прицепными) орудиями может также выполнять работы по пахоте, междурядной обработке почвы, выкапыванию корнеплодов.;/UserFiles/Image/shop/mkm-2lander.png;99;24990;0;0;0;0;;;;;;;;;;;;;;;;;;
;Мотокультиватор Нева МК-100-05;;/UserFiles/Image/shop/mk-100-05.png;;/UserFiles/Image/shop/mk-100-05.png;99;22900;0;0;0;0;;;;;;;;;;;;;;;;;;
;Мотокультиватор Нева МК-100-05Р;;/UserFiles/Image/shop/mk-100-05.png;;/UserFiles/Image/shop/mk-100-05.png;99;24500;0;0;0;0;;;;;;;;;;;;;;;;;;
;Мотокультиватор Нева МК-100-05;;/UserFiles/Image/shop/mk-100-07.png;;/UserFiles/Image/shop/mk-100-07.png;99;22900;0;0;0;0;;;;;;;;;;;;;;;;;;
;Мотокультиватор Нева МК-100-05Р;;/UserFiles/Image/shop/mk-100-07.png;;/UserFiles/Image/shop/mk-100-07.png;99;24500;0;0;0;0;;;;;;;;;;;;;;;;;;
;Мотокультиватор Нева МКМ-75-01Р;;/UserFiles/Image/shop/mk-100-07.png;;/UserFiles/Image/shop/mk-100-07.png;99;20900;0;0;0;0;;;;;;;;;;;;;;;;;;
;Электрокультиватор Eurosystems La Zappa 1300;Электрокультиватор La Zappa предназначен для использования на участках площадью до 3 соток с легким грунтом. Особенно удобен для работы в закрытых помещениях - теплицы, парники, оранжереи.;/UserFiles/Image/shop/eurosystems_lazappa.jpg;;/UserFiles/Image/shop/eurosystems_lazappa.jpg;99;11500;0;0;0;0;;;;;;;;;;;;;;;;;;
;Электрокультиватор Eurosystems Z-1;;/UserFiles/Image/shop/eurosystems_z1.jpg;;/UserFiles/Image/shop/eurosystems_z1.jpg;99;8500;0;0;0;0;;;;;;;;;;;;;;;;;;
;Электрокультиватор Eurosystems Lucciola;;/UserFiles/Image/shop/eurosystems_lucciola.jpeg;;/UserFiles/Image/shop/eurosystems_lucciola.jpeg;99;5500;0;0;0;0;;;;;;;;;;;;;;;;;;
;Мотоблок МКМ-3-С7 Lander (Пахарь);"Мотоблок Пахарь (Lander) предназначен для выполнения агротехнических операций по обработке почвы: вспашки, культивации (фрезерования), нарезки борозд, окучивания, выкапывания корнеплодов, боронования земли, на приусадебных участках и в фермерских хозяйствах.
     В комплектации со специально разработанными навесными орудиями и механизмами мотоблок Пахарь (Lander) можно использовать и для других работ: кошения травы, перевозки грузов (300-400кг), в строительстве и в городских коммунальных службах для уборки территории.";/UserFiles/Image/shop/lander_rs7-mini.png;"Мотоблок Пахарь (Lander) предназначен для выполнения агротехнических операций по обработке почвы: вспашки, культивации (фрезерования), нарезки борозд, окучивания, выкапывания корнеплодов, боронования земли, на приусадебных участках и в фермерских хозяйствах.
     В комплектации со специально разработанными навесными орудиями и механизмами мотоблок Пахарь (Lander) можно использовать и для других работ: кошения травы, перевозки грузов (300-400кг), в строительстве и в городских коммунальных службах для уборки территории. Высочайшее качество всех узлов мотоблока Пахарь.
Гарантия на изделие 1 год.
Наличие сервисного центра.
Уравновешенная балансировка (нулевая) всей конструкции. Снижает нагрузку на руки при работе до минимума.
Механический шестеренчатый разборный редуктор мотоблока Пахарь изготовлен на авиационном заводе. Дает высокую надежность и ремонтопригодность.
Устанавливаются профессиональные гильзованные двигатели из Японии и Китая с большим ресурсом.
В базовой комплектации идут опорные колеса для перемещения культиватора без повреждения газона или плитки.
В приводе применяется стальной точеный шкив. Позволяет получить высокий коэффициент зацепления с ремнем.
В качестве органов управления используются профессиональные итальянские ручки фирмы ""START"". Усилие на нажатой ручке очень небольшое, что не утомляет оператора во время работы.
Применение современного руля с регулировками в двух плоскостях. Индивидуальный подбор регулировки в зависимости от физических данных человека.
Современный дизайн, защитные элементы выполнены из стали.
Возможность замены и переработки всех материалов мотоблока Пахарь (Lander) вторично.
Две скорости вперед + одна скорость назад. Наличие скорости для выполнения коммунальных работ.";/UserFiles/Image/shop/lander_rs7.png;99;34500;;;;;;;;;;;;;;;;;;;;;;
;Мотоблок МКМ-3-С6 Lander (Пахарь);"Мотоблок Пахарь (Lander) предназначен для выполнения агротехнических операций по обработке почвы: вспашки, культивации (фрезерования), нарезки борозд, окучивания, выкапывания корнеплодов, боронования земли, на приусадебных участках и в фермерских хозяйствах.
     В комплектации со специально разработанными навесными орудиями и механизмами мотоблок Пахарь (Lander) можно использовать и для других работ: кошения травы, перевозки грузов (300-400кг), в строительстве и в городских коммунальных службах для уборки территории.";/UserFiles/Image/shop/Lander-RS6-mini.png;"Мотоблок Пахарь (Lander) предназначен для выполнения агротехнических операций по обработке почвы: вспашки, культивации (фрезерования), нарезки борозд, окучивания, выкапывания корнеплодов, боронования земли, на приусадебных участках и в фермерских хозяйствах.
     В комплектации со специально разработанными навесными орудиями и механизмами мотоблок Пахарь (Lander) можно использовать и для других работ: кошения травы, перевозки грузов (300-400кг), в строительстве и в городских коммунальных службах для уборки территории. Высочайшее качество всех узлов мотоблока Пахарь.
Гарантия на изделие 1 год.
Наличие сервисного центра.
Уравновешенная балансировка (нулевая) всей конструкции. Снижает нагрузку на руки при работе до минимума.
Механический шестеренчатый разборный редуктор мотоблока Пахарь изготовлен на авиационном заводе. Дает высокую надежность и ремонтопригодность.
Устанавливаются профессиональные гильзованные двигатели из Японии и Китая с большим ресурсом.
В базовой комплектации идут опорные колеса для перемещения культиватора без повреждения газона или плитки.
В приводе применяется стальной точеный шкив. Позволяет получить высокий коэффициент зацепления с ремнем.
В качестве органов управления используются профессиональные итальянские ручки фирмы ""START"". Усилие на нажатой ручке очень небольшое, что не утомляет оператора во время работы.
Применение современного руля с регулировками в двух плоскостях. Индивидуальный подбор регулировки в зависимости от физических данных человека.
Современный дизайн, защитные элементы выполнены из стали.
Возможность замены и переработки всех материалов мотоблока Пахарь (Lander) вторично.
Две скорости вперед + одна скорость назад. Наличие скорости для выполнения коммунальных работ.";/UserFiles/Image/shop/Lander-RS6.png;99;32500;;;;;;;;;;;;;;;;;;;;;;
;Мотоблок МКМ-3-С6 Премиум Lander (Пахарь);"Мотоблок Пахарь (Lander) предназначен для выполнения агротехнических операций по обработке почвы: вспашки, культивации (фрезерования), нарезки борозд, окучивания, выкапывания корнеплодов, боронования земли, на приусадебных участках и в фермерских хозяйствах.
     В комплектации со специально разработанными навесными орудиями и механизмами мотоблок Пахарь (Lander) можно использовать и для других работ: кошения травы, перевозки грузов (300-400кг), в строительстве и в городских коммунальных службах для уборки территории.";/UserFiles/Image/shop/Lander-RS6-mini.png;"Мотоблок Пахарь (Lander) предназначен для выполнения агротехнических операций по обработке почвы: вспашки, культивации (фрезерования), нарезки борозд, окучивания, выкапывания корнеплодов, боронования земли, на приусадебных участках и в фермерских хозяйствах.
     В комплектации со специально разработанными навесными орудиями и механизмами мотоблок Пахарь (Lander) можно использовать и для других работ: кошения травы, перевозки грузов (300-400кг), в строительстве и в городских коммунальных службах для уборки территории. Высочайшее качество всех узлов мотоблока Пахарь.
Гарантия на изделие 1 год.
Наличие сервисного центра.
Уравновешенная балансировка (нулевая) всей конструкции. Снижает нагрузку на руки при работе до минимума.
Механический шестеренчатый разборный редуктор мотоблока Пахарь изготовлен на авиационном заводе. Дает высокую надежность и ремонтопригодность.
Устанавливаются профессиональные гильзованные двигатели из Японии и Китая с большим ресурсом.
В базовой комплектации идут опорные колеса для перемещения культиватора без повреждения газона или плитки.
В приводе применяется стальной точеный шкив. Позволяет получить высокий коэффициент зацепления с ремнем.
В качестве органов управления используются профессиональные итальянские ручки фирмы ""START"". Усилие на нажатой ручке очень небольшое, что не утомляет оператора во время работы.
Применение современного руля с регулировками в двух плоскостях. Индивидуальный подбор регулировки в зависимости от физических данных человека.
Современный дизайн, защитные элементы выполнены из стали.
Возможность замены и переработки всех материалов мотоблока Пахарь (Lander) вторично.
Две скорости вперед + одна скорость назад. Наличие скорости для выполнения коммунальных работ.";/UserFiles/Image/shop/Lander-RS6.png;99;34000;;;;;;;;;;;;;;;;;;;;;;
;Мотоблок МКМ-3-Л6,5 Lander (Пахарь);"Мотоблок Пахарь (Lander) предназначен для выполнения агротехнических операций по обработке почвы: вспашки, культивации (фрезерования), нарезки борозд, окучивания, выкапывания корнеплодов, боронования земли, на приусадебных участках и в фермерских хозяйствах.
     В комплектации со специально разработанными навесными орудиями и механизмами мотоблок Пахарь (Lander) можно использовать и для других работ: кошения травы, перевозки грузов (300-400кг), в строительстве и в городских коммунальных службах для уборки территории.";/UserFiles/Image/shop/Lander-LL-mini.png;"Мотоблок Пахарь (Lander) предназначен для выполнения агротехнических операций по обработке почвы: вспашки, культивации (фрезерования), нарезки борозд, окучивания, выкапывания корнеплодов, боронования земли, на приусадебных участках и в фермерских хозяйствах.
     В комплектации со специально разработанными навесными орудиями и механизмами мотоблок Пахарь (Lander) можно использовать и для других работ: кошения травы, перевозки грузов (300-400кг), в строительстве и в городских коммунальных службах для уборки территории. Высочайшее качество всех узлов мотоблока Пахарь.
Гарантия на изделие 1 год.
Наличие сервисного центра.
Уравновешенная балансировка (нулевая) всей конструкции. Снижает нагрузку на руки при работе до минимума.
Механический шестеренчатый разборный редуктор мотоблока Пахарь изготовлен на авиационном заводе. Дает высокую надежность и ремонтопригодность.
Устанавливаются профессиональные гильзованные двигатели из Японии и Китая с большим ресурсом.
В базовой комплектации идут опорные колеса для перемещения культиватора без повреждения газона или плитки.
В приводе применяется стальной точеный шкив. Позволяет получить высокий коэффициент зацепления с ремнем.
В качестве органов управления используются профессиональные итальянские ручки фирмы ""START"". Усилие на нажатой ручке очень небольшое, что не утомляет оператора во время работы.
Применение современного руля с регулировками в двух плоскостях. Индивидуальный подбор регулировки в зависимости от физических данных человека.
Современный дизайн, защитные элементы выполнены из стали.
Возможность замены и переработки всех материалов мотоблока Пахарь (Lander) вторично.
Две скорости вперед + одна скорость назад. Наличие скорости для выполнения коммунальных работ.";/UserFiles/Image/shop/Lander-LL.png;99;26500;;;;;;;;;;;;;;;;;;;;;;
;Мотоблок МКМ-3-К7 Lander (Пахарь);"Мотоблок Пахарь (Lander) предназначен для выполнения агротехнических операций по обработке почвы: вспашки, культивации (фрезерования), нарезки борозд, окучивания, выкапывания корнеплодов, боронования земли, на приусадебных участках и в фермерских хозяйствах.
     В комплектации со специально разработанными навесными орудиями и механизмами мотоблок Пахарь (Lander) можно использовать и для других работ: кошения травы, перевозки грузов (300-400кг), в строительстве и в городских коммунальных службах для уборки территории.";/UserFiles/Image/shop/lander_kohler-mini.png;"Мотоблок Пахарь (Lander) предназначен для выполнения агротехнических операций по обработке почвы: вспашки, культивации (фрезерования), нарезки борозд, окучивания, выкапывания корнеплодов, боронования земли, на приусадебных участках и в фермерских хозяйствах.
     В комплектации со специально разработанными навесными орудиями и механизмами мотоблок Пахарь (Lander) можно использовать и для других работ: кошения травы, перевозки грузов (300-400кг), в строительстве и в городских коммунальных службах для уборки территории. Высочайшее качество всех узлов мотоблока Пахарь.
Гарантия на изделие 1 год.
Наличие сервисного центра.
Уравновешенная балансировка (нулевая) всей конструкции. Снижает нагрузку на руки при работе до минимума.
Механический шестеренчатый разборный редуктор мотоблока Пахарь изготовлен на авиационном заводе. Дает высокую надежность и ремонтопригодность.
Устанавливаются профессиональные гильзованные двигатели из Японии и Китая с большим ресурсом.
В базовой комплектации идут опорные колеса для перемещения культиватора без повреждения газона или плитки.
В приводе применяется стальной точеный шкив. Позволяет получить высокий коэффициент зацепления с ремнем.
В качестве органов управления используются профессиональные итальянские ручки фирмы ""START"". Усилие на нажатой ручке очень небольшое, что не утомляет оператора во время работы.
Применение современного руля с регулировками в двух плоскостях. Индивидуальный подбор регулировки в зависимости от физических данных человека.
Современный дизайн, защитные элементы выполнены из стали.
Возможность замены и переработки всех материалов мотоблока Пахарь (Lander) вторично.
Две скорости вперед + одна скорость назад. Наличие скорости для выполнения коммунальных работ.";/UserFiles/Image/shop/lander_kohler.png;99;32900;35500;;;;;;;;;;;;;;;;;;;;;
;Мотоблок МКМ-3-Б6,5 Lander (Пахарь);"Мотоблок Пахарь (Lander) предназначен для выполнения агротехнических операций по обработке почвы: вспашки, культивации (фрезерования), нарезки борозд, окучивания, выкапывания корнеплодов, боронования земли, на приусадебных участках и в фермерских хозяйствах.
     В комплектации со специально разработанными навесными орудиями и механизмами мотоблок Пахарь (Lander) можно использовать и для других работ: кошения травы, перевозки грузов (300-400кг), в строительстве и в городских коммунальных службах для уборки территории.";/UserFiles/Image/shop/lander_brigs-mini.png;"Мотоблок Пахарь (Lander) предназначен для выполнения агротехнических операций по обработке почвы: вспашки, культивации (фрезерования), нарезки борозд, окучивания, выкапывания корнеплодов, боронования земли, на приусадебных участках и в фермерских хозяйствах.
     В комплектации со специально разработанными навесными орудиями и механизмами мотоблок Пахарь (Lander) можно использовать и для других работ: кошения травы, перевозки грузов (300-400кг), в строительстве и в городских коммунальных службах для уборки территории. Высочайшее качество всех узлов мотоблока Пахарь.
Гарантия на изделие 1 год.
Наличие сервисного центра.
Уравновешенная балансировка (нулевая) всей конструкции. Снижает нагрузку на руки при работе до минимума.
Механический шестеренчатый разборный редуктор мотоблока Пахарь изготовлен на авиационном заводе. Дает высокую надежность и ремонтопригодность.
Устанавливаются профессиональные гильзованные двигатели из Японии и Китая с большим ресурсом.
В базовой комплектации идут опорные колеса для перемещения культиватора без повреждения газона или плитки.
В приводе применяется стальной точеный шкив. Позволяет получить высокий коэффициент зацепления с ремнем.
В качестве органов управления используются профессиональные итальянские ручки фирмы ""START"". Усилие на нажатой ручке очень небольшое, что не утомляет оператора во время работы.
Применение современного руля с регулировками в двух плоскостях. Индивидуальный подбор регулировки в зависимости от физических данных человека.
Современный дизайн, защитные элементы выполнены из стали.
Возможность замены и переработки всех материалов мотоблока Пахарь (Lander) вторично.
Две скорости вперед + одна скорость назад. Наличие скорости для выполнения коммунальных работ.";/UserFiles/Image/shop/lander_brigs.png;99;32500;;;;;;;;;;;;;;;;;;;;;;
;Мотоблок МКМ-3-Б6 Lander (Пахарь);"Мотоблок Пахарь (Lander) предназначен для выполнения агротехнических операций по обработке почвы: вспашки, культивации (фрезерования), нарезки борозд, окучивания, выкапывания корнеплодов, боронования земли, на приусадебных участках и в фермерских хозяйствах.
     В комплектации со специально разработанными навесными орудиями и механизмами мотоблок Пахарь (Lander) можно использовать и для других работ: кошения травы, перевозки грузов (300-400кг), в строительстве и в городских коммунальных службах для уборки территории.";/UserFiles/Image/shop/lander_brigs-mini.png;"Мотоблок Пахарь (Lander) предназначен для выполнения агротехнических операций по обработке почвы: вспашки, культивации (фрезерования), нарезки борозд, окучивания, выкапывания корнеплодов, боронования земли, на приусадебных участках и в фермерских хозяйствах.
     В комплектации со специально разработанными навесными орудиями и механизмами мотоблок Пахарь (Lander) можно использовать и для других работ: кошения травы, перевозки грузов (300-400кг), в строительстве и в городских коммунальных службах для уборки территории. Высочайшее качество всех узлов мотоблока Пахарь.
Гарантия на изделие 1 год.
Наличие сервисного центра.
Уравновешенная балансировка (нулевая) всей конструкции. Снижает нагрузку на руки при работе до минимума.
Механический шестеренчатый разборный редуктор мотоблока Пахарь изготовлен на авиационном заводе. Дает высокую надежность и ремонтопригодность.
Устанавливаются профессиональные гильзованные двигатели из Японии и Китая с большим ресурсом.
В базовой комплектации идут опорные колеса для перемещения культиватора без повреждения газона или плитки.
В приводе применяется стальной точеный шкив. Позволяет получить высокий коэффициент зацепления с ремнем.
В качестве органов управления используются профессиональные итальянские ручки фирмы ""START"". Усилие на нажатой ручке очень небольшое, что не утомляет оператора во время работы.
Применение современного руля с регулировками в двух плоскостях. Индивидуальный подбор регулировки в зависимости от физических данных человека.
Современный дизайн, защитные элементы выполнены из стали.
Возможность замены и переработки всех материалов мотоблока Пахарь (Lander) вторично.
Две скорости вперед + одна скорость назад. Наличие скорости для выполнения коммунальных работ.";/UserFiles/Image/shop/lander_brigs.png;99;29990;;;;;;;;;;;;;;;;;;;;;;
;Мотоблок МКМ-3-GX200 Lander (Пахарь);"Мотоблок Пахарь (Lander) предназначен для выполнения агротехнических операций по обработке почвы: вспашки, культивации (фрезерования), нарезки борозд, окучивания, выкапывания корнеплодов, боронования земли, на приусадебных участках и в фермерских хозяйствах.
     В комплектации со специально разработанными навесными орудиями и механизмами мотоблок Пахарь (Lander) можно использовать и для других работ: кошения травы, перевозки грузов (300-400кг), в строительстве и в городских коммунальных службах для уборки территории.";/UserFiles/Image/shop/Lander-Honda-mini.png;"Мотоблок Пахарь (Lander) предназначен для выполнения агротехнических операций по обработке почвы: вспашки, культивации (фрезерования), нарезки борозд, окучивания, выкапывания корнеплодов, боронования земли, на приусадебных участках и в фермерских хозяйствах.
     В комплектации со специально разработанными навесными орудиями и механизмами мотоблок Пахарь (Lander) можно использовать и для других работ: кошения травы, перевозки грузов (300-400кг), в строительстве и в городских коммунальных службах для уборки территории. Высочайшее качество всех узлов мотоблока Пахарь.
Гарантия на изделие 1 год.
Наличие сервисного центра.
Уравновешенная балансировка (нулевая) всей конструкции. Снижает нагрузку на руки при работе до минимума.
Механический шестеренчатый разборный редуктор мотоблока Пахарь изготовлен на авиационном заводе. Дает высокую надежность и ремонтопригодность.
Устанавливаются профессиональные гильзованные двигатели из Японии и Китая с большим ресурсом.
В базовой комплектации идут опорные колеса для перемещения культиватора без повреждения газона или плитки.
В приводе применяется стальной точеный шкив. Позволяет получить высокий коэффициент зацепления с ремнем.
В качестве органов управления используются профессиональные итальянские ручки фирмы ""START"". Усилие на нажатой ручке очень небольшое, что не утомляет оператора во время работы.
Применение современного руля с регулировками в двух плоскостях. Индивидуальный подбор регулировки в зависимости от физических данных человека.
Современный дизайн, защитные элементы выполнены из стали.
Возможность замены и переработки всех материалов мотоблока Пахарь (Lander) вторично.
Две скорости вперед + одна скорость назад. Наличие скорости для выполнения коммунальных работ.";/UserFiles/Image/shop/Lander-Honda.png;99;33500;;;;;;;;;;;;;;;;;;;;;;
